contents,lower_contents
 Bye Tanya, bye tanya
 bye yall, bye yall
 Bystander CM, bystander cm
 Bystander here, bystander here
 Bystander here also, bystander here also
 bystander here too Terri Green. It is very nice to meet you all, bystander here too terri green. it is very nice to meet you all
 Bystander too., bystander too.
 can we tell?, can we tell?
 carla?, carla?
" carol is a mafia too, i saw it when we were chatting last night"," carol is a mafia too, i saw it when we were chatting last night"
 Cathy, cathy
 Cathy is Mafia I think, cathy is mafia i think
 Chad and Tricia have to be the mafia based on the voting patterns., chad and tricia have to be the mafia based on the voting patterns.
 Check the instructions, check the instructions
 Chelsea?, chelsea?
 chris scott, chris scott
 Christina is too wise, christina is too wise
 christine, christine
 christopher smith said only hello, christopher smith said only hello
 Christopher's turn...., christopher's turn....
 colonel mustard in the library with the candlestick, colonel mustard in the library with the candlestick
 cory, cory
 Cory Baron. Everyone vote Cory Baron., cory baron. everyone vote cory baron.
 Cory is dead weight, cory is dead weight
 cory is gone, cory is gone
 Could be any of us. Its just a guess., could be any of us. its just a guess.
 could be you Alexandra , could be you alexandra 
 cristian, cristian
 Curtis lives!, curtis lives!
 c-ya cory, c-ya cory
 cya later lol, cya later lol
 Cynthia was also the last to vote John., cynthia was also the last to vote john.
 D:, d:
 DAKOTA, dakota
 Dammit, dammit
 damn those instant votes, damn those instant votes
 damn!, damn!
 damnuit, damnuit
 Damon sounds good, damon sounds good
 dance fight, dance fight
 Dance fighting is how all mafia disputes are settled, dance fighting is how all mafia disputes are settled
 Dang, dang
 Danielle, danielle
 Danielle must go now, danielle must go now
" Danielle said ""Jill Mcdonald AFTER CORY"" and then she disappeared. It's obvious"," danielle said ""jill mcdonald after cory"" and then she disappeared. it's obvious"
 Danielle?, danielle?
 danny, danny
 day, day
 'Day fell off a truck., 'day fell off a truck.
 day time, day time
 days are too long, days are too long
 Deborah should probably be next since she is throwing people under the bus...sounds just like mafia, deborah should probably be next since she is throwing people under the bus...sounds just like mafia
 Def different orders, def different orders
 depends on who you are, depends on who you are
 Derek Giles, derek giles
 Derek got the wrong guy, derek got the wrong guy
" Derek, you should be able to"," derek, you should be able to"
" Diane, it's about time you die"," diane, it's about time you die"
 Did anyone die?, did anyone die?
 Did everybody sleep well last night?, did everybody sleep well last night?
 Did everyone have a good Monday?, did everyone have a good monday?
 did she win?, did she win?
 did the game break, did the game break
 Did you not read the rules?, did you not read the rules?
 Dillon?, dillon?
 Dirty Mafia, dirty mafia
 Ditto David. Feels good!, ditto david. feels good!
 do not know, do not know
 do the votes have to be unanimous or just 'most votes wins', do the votes have to be unanimous or just 'most votes wins'
 do we know how many total there are?, do we know how many total there are?
 Do we start with DOnna tomorrow? And try to get a trend going?, do we start with donna tomorrow? and try to get a trend going?
 Do you have anyone specific you wanted to off?, do you have anyone specific you wanted to off?
 do you have anything to say for yourself justin, do you have anything to say for yourself justin
 Do you want to get rid of Henry Evans?, do you want to get rid of henry evans?
 Do you want to harm yourself Nathan?, do you want to harm yourself nathan?
 doctor's orders, doctor's orders
 does that mean there's one mafia left? are we all bystanders? how does this work haha, does that mean there's one mafia left? are we all bystanders? how does this work haha
 doesnt matter, doesnt matter
 Doing good so far., doing good so far.
" Doing great, how is everyone?"," doing great, how is everyone?"
 done deal, done deal
" Donna Cook here, not a mafia member :)"," donna cook here, not a mafia member :)"
 DONNA needs to GO next, donna needs to go next
 Donna was a bit too quick to throw Diane under the bus on day one though., donna was a bit too quick to throw diane under the bus on day one though.
 Don't do it.. I'm really not a Mafia., don't do it.. i'm really not a mafia.
" Don't go after Jerry, he's just an innocent um"," don't go after jerry, he's just an innocent um"
 Don't kill me!, don't kill me!
 Don't think there is a prize, don't think there is a prize
" Don't vote for Elizabeth, make them suffer and wait."," don't vote for elizabeth, make them suffer and wait."
 Don't you turn this on me, don't you turn this on me
 doooo ittttt, doooo ittttt
 drhhdfrh, drhhdfrh
 Dwayne Lam sounds like a good choice, dwayne lam sounds like a good choice
 🤔, 🤔
 🤔 I still don't know I'm just going along with the crow d, 🤔 i still don't know i'm just going along with the crow d
 Eating some donuts., eating some donuts.
" Eh, let's do it"," eh, let's do it"
" ehh, lol"," ehh, lol"
 Eliminate Adam Ward., eliminate adam ward.
 ELIMINATE MATHEW FRANCO, eliminate mathew franco
 Eliminate the first in list?, eliminate the first in list?
 Eliminate the first in list?, eliminate the first in list?
 Eliminate Underwood, eliminate underwood
 eliminating nathan would be obvious, eliminating nathan would be obvious
" Elizabeth seems vaguely leader like, so I voted for her"," elizabeth seems vaguely leader like, so i voted for her"
 ello, ello
 enjoy maf, enjoy maf
" er,Amanda*"," er,amanda*"
" Eric, care to weigh in?"," eric, care to weigh in?"
 erica joseph is too smart for her own good., erica joseph is too smart for her own good.
 Erin tried to break my legs, erin tried to break my legs
 Ernest seemed vocal - should we pick him and then vote Blake when it is everyone, ernest seemed vocal - should we pick him and then vote blake when it is everyone
 Espinoze to make it seem less suspicious?, espinoze to make it seem less suspicious?
 Even Natalie agrees that Natalie cannot be trusted., even natalie agrees that natalie cannot be trusted.
 everyone agreeing natalie is probably mafia, everyone agreeing natalie is probably mafia
 Everyone's real. Hard to tell who is together. Hmmm, everyone's real. hard to tell who is together. hmmm
" Evil, saucy minx, you."," evil, saucy minx, you."
 exactly, exactly
 exactly what i was thinking, exactly what i was thinking
 excuse me, excuse me
 EXIT, exit
 eyy fuggeddaboutit, eyy fuggeddaboutit
 f, f
 feather, feather
 Feather Hench, feather hench
 feels bad, feels bad
 Feels good., feels good.
 Felicia is mafioso, felicia is mafioso
 Fine thanks. Who should we eliminate?, fine thanks. who should we eliminate?
 first is always safe its second, first is always safe its second
 First to act against what was a bystander, first to act against what was a bystander
 for having an opinion?  sure, for having an opinion?  sure
 forgot my coffee and it's been downhill since, forgot my coffee and it's been downhill since
 frank it is, frank it is
 Frank... and I think we win?, frank... and i think we win?
" Gasp, so Shane wasn't Mafia?"," gasp, so shane wasn't mafia?"
 Get him!, get him!
 get him!, get him!
 Get John Davis, get john davis
 Get Mark?, get mark?
 get me outt, get me outt
 Get rid of Caroline?, get rid of caroline?
 get rid of scott, get rid of scott
 Get ryan outta here, get ryan outta here
 Get that mafia murderer michelle!, get that mafia murderer michelle!
 get ya, get ya
" Getting really suspicious of you silent, murder-y types."," getting really suspicious of you silent, murder-y types."
 gg mafia, gg mafia
 Glad he's gone. He gave me crabs, glad he's gone. he gave me crabs
 glitch?, glitch?
 Go after john or jerry, go after john or jerry
 go for chelsea, go for chelsea
 go with brent then, go with brent then
" going for people who aren't participating first though so, sorry Ruben"," going for people who aren't participating first though so, sorry ruben"
 going to eliminate you..ah aha, going to eliminate you..ah aha
 going very well, going very well
 going with Johnny again, going with johnny again
 gonna miss u christopher , gonna miss u christopher 
 gonna vote yourself out?, gonna vote yourself out?
 Gonzales? Like the kind of thing a mafioso might say, gonzales? like the kind of thing a mafioso might say
 good day, good day
" Good enough for me, Alexander Lopez sleeps with the fishes tonight."," good enough for me, alexander lopez sleeps with the fishes tonight."
 good for me, good for me
 good for me, good for me
 Good idea, good idea
 Good job Jordan. Feeling like a little murder today?, good job jordan. feeling like a little murder today?
 Good luck, good luck
 Good morning again!  :-), good morning again!  :-)
 Good morning friends, good morning friends
 Good Morning!, good morning!
 Good morning!, good morning!
 Good morning!, good morning!
" Good morning, who do we vote on next?"," good morning, who do we vote on next?"
 Good night rebecca, good night rebecca
 Good question, good question
 good she's gone, good she's gone
 GOOD THINK, good think
" Good, who should we eliminate?"," good, who should we eliminate?"
 great, great
 great, great
 great game in person, great game in person
" Great! So, who do we vote for?"," great! so, who do we vote for?"
 Greetings, greetings
 Greetings!, greetings!
 Gregory is my best friend, gregory is my best friend
 gregory was suicidial, gregory was suicidial
 guerra sounds mafia, guerra sounds mafia
 guess it wasnt her lol, guess it wasnt her lol
 Guess it's all me then., guess it's all me then.
 guess not, guess not
 Guess not :(, guess not :(
" guys not playin, so lets knock him out"," guys not playin, so lets knock him out"
" guys, no"," guys, no"
 h3ehe, h3ehe
 ha, ha
 ha ha christopher should have said that earlier, ha ha christopher should have said that earlier
 haha, haha
 HAHA, haha
 haha, haha
 haha, haha
 Haha, haha
 haha, haha
 haha, haha
 haha, haha
 haha didn't see that coming...., haha didn't see that coming....
 haha that's how we're choosing, haha that's how we're choosing
" haha yeah i was thinking that, but they might not notice"," haha yeah i was thinking that, but they might not notice"
 haha yes, haha yes
 haha yes, haha yes
 haha you too, haha you too
" haha, yea"," haha, yea"
 hahaha, hahaha
 hahaha, hahaha
 hahaha, hahaha
 hahaha, hahaha
 Hahaha just playin my dawg! This game mad fun man, hahaha just playin my dawg! this game mad fun man
 hahahaha, hahahaha
 hahahaha!, hahahaha!
 hahahahaha, hahahahaha
 Hai, hai
 hai, hai
 hard to tell. i have to keep scanning, hard to tell. i have to keep scanning
 Harold could you restate your question., harold could you restate your question.
 has anyone not talked yet, has anyone not talked yet
 Has Jonathan Kim voted at all??, has jonathan kim voted at all??
 Have a good night muwhwhw, have a good night muwhwhw
 he could have voted for cynthia to try to provide her cover, he could have voted for cynthia to try to provide her cover
 He did have it out for Patrick though, he did have it out for patrick though
" He did suggest Jason last round, and I don't think Jason was actually mafia..."," he did suggest jason last round, and i don't think jason was actually mafia..."
 He hasn't said much., he hasn't said much.
 he is here now and voted, he is here now and voted
 he keeps trying to get rid of people, he keeps trying to get rid of people
 he misttyped in the box at the start of day , he misttyped in the box at the start of day 
 He must be. , he must be. 
 He should be at the end game screen now., he should be at the end game screen now.
 He sounds like bad news, he sounds like bad news
 he voted for justin with no justification though, he voted for justin with no justification though
 he was first on the list, he was first on the list
 he was just a kid, he was just a kid
" He was the first one to make a suggestion, and he's at the top of the list"," he was the first one to make a suggestion, and he's at the top of the list"
 He;s already dead..how about Chelsea, he;s already dead..how about chelsea
 Heather French sounds appropriate, heather french sounds appropriate
 heheh, heheh
 Hello, hello
 hello, hello
 Hello, hello
 hello, hello
 hello, hello
 Hello, hello
 hello, hello
 hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 hello, hello
 Hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 hello, hello
 Hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 hello, hello
 hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 hello, hello
 hello, hello
 hello, hello
 Hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 hello, hello
 hello, hello
 Hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
 hello, hello
 hello, hello
 Hello, hello
 hello, hello
 Hello, hello
 hello, hello
 HELLO, hello
 Hello, hello
 hello, hello
 Hello, hello
 hello, hello
 Hello, hello
 Hello, hello
 Hello, hello
