contents,lower_contents
 I go with my gut instinct, i go with my gut instinct
 I got interupted before I got to answer the ballons questions.  99 of them Paul. 99 Red Balloons., i got interupted before i got to answer the ballons questions.  99 of them paul. 99 red balloons.
" I got that one wrong, so sorry"," i got that one wrong, so sorry"
" I guarantee you I'm not mafia, but do what you gotta do."," i guarantee you i'm not mafia, but do what you gotta do."
 i guess, i guess
 I guess rachel was right 😂 , i guess rachel was right 😂 
 I hate him, i hate him
 I hate the scrolling, i hate the scrolling
 I have been acting suspiciously., i have been acting suspiciously.
 I have my eye on Richard Walter, i have my eye on richard walter
 I have no idea at this point honestly., i have no idea at this point honestly.
 I have no rationale just speeding things up , i have no rationale just speeding things up 
 I honestly have no idea, i honestly have no idea
 I just have that feeling about patrick, i just have that feeling about patrick
 i just loaded in and had a vote already somehow?, i just loaded in and had a vote already somehow?
 I just noticed (looking back at round 1) that Kendra Craig did end up voting., i just noticed (looking back at round 1) that kendra craig did end up voting.
" I just realized, I had to push vote xD Oops. I haven't been voting"," i just realized, i had to push vote xd oops. i haven't been voting"
 I just voted for the first person to vote haha, i just voted for the first person to vote haha
" I keep having to scroll up to see how much time is lef, lol"," i keep having to scroll up to see how much time is lef, lol"
 I knew because I played mafia on epicmafia where that kind of slip happens all the time, i knew because i played mafia on epicmafia where that kind of slip happens all the time
 I knew it Kevin!, i knew it kevin!
 I knew it!, i knew it!
 I know, i know
 i know who is mafia, i know who is mafia
 I like Austin, i like austin
 I like talking to myself!, i like talking to myself!
 i loaded in late to the first round, i loaded in late to the first round
 I MADE MY VOTE, i made my vote
 I mean I'm all for bye Felicia lol, i mean i'm all for bye felicia lol
 i mean i'm just processing everyone admitting to being mafia even though they can't all be lol, i mean i'm just processing everyone admitting to being mafia even though they can't all be lol
 i mean no, i mean no
 I mean probably vote with 30 seconds left at least., i mean probably vote with 30 seconds left at least.
" i mean, obviously don't vote for each other, lol"," i mean, obviously don't vote for each other, lol"
 I might go James Lopex, i might go james lopex
 I missed that, i missed that
 I missed you guys, i missed you guys
 I only suggested Jason because he suggested me. Live and let live otherwise, i only suggested jason because he suggested me. live and let live otherwise
 I pretty much guess they won't say.. right?, i pretty much guess they won't say.. right?
 I read it in The Sun., i read it in the sun.
 I read the rules as well, i read the rules as well
 I really dislike this randomly generated name., i really dislike this randomly generated name.
 i sa austin, i sa austin
 I say Amanda is next, i say amanda is next
 I say Damon, i say damon
 I say Jamie, i say jamie
 I say lets get rid of Gregory, i say lets get rid of gregory
 I say Paul for getting 99 red baloons stuck in my head, i say paul for getting 99 red baloons stuck in my head
 I say Thomas, i say thomas
 I say vote for Deborah, i say vote for deborah
 I say vote michelle. That silence is deadly., i say vote michelle. that silence is deadly.
 I say we eliminate Danielle Oliver, i say we eliminate danielle oliver
 I say we elinate, i say we elinate
 I say we get rid of Austin, i say we get rid of austin
" I say we leave up troy, his shtick is too terrible"," i say we leave up troy, his shtick is too terrible"
 I second Tanya, i second tanya
" i see why kimberly voted you, because you voted her first, lol"," i see why kimberly voted you, because you voted her first, lol"
 I see you, i see you
 I see you ricky, i see you ricky
 I still don't know who to vote for., i still don't know who to vote for.
 I still think Jay myself , i still think jay myself 
 I swear this timer moves slower than normal, i swear this timer moves slower than normal
 I think angela is mafia....she wanted him gone, i think angela is mafia....she wanted him gone
 I think Ben and Colin are gonna win, i think ben and colin are gonna win
 I think Christina will believe us, i think christina will believe us
 I think Donna talks a lot and tries to confuse us. , i think donna talks a lot and tries to confuse us. 
 I think Gregory is throwing around a lot of accusations., i think gregory is throwing around a lot of accusations.
 I think it could be either., i think it could be either.
 I think its Blake, i think its blake
" I think it's Henry, too quiet"," i think it's henry, too quiet"
 I think it's random, i think it's random
 I think kelly, i think kelly
 I think my thing is lagging , i think my thing is lagging 
 I think our mafia member radars are off, i think our mafia member radars are off
 I think scott is sketchy, i think scott is sketchy
 I think so Joshua., i think so joshua.
 I think so., i think so.
" I think so. Because mafia know who the other mafia are, and probably wouldn't kill their own"," i think so. because mafia know who the other mafia are, and probably wouldn't kill their own"
 I think that the best approach is to wait until the very end to vote, i think that the best approach is to wait until the very end to vote
 i think the timer's a bit long for the night and day sessions. everyone have a good evening!, i think the timer's a bit long for the night and day sessions. everyone have a good evening!
 I think we can get people to turn on Nicole because she stuck up for sam, i think we can get people to turn on nicole because she stuck up for sam
 i think we may be racists, i think we may be racists
 I think we should eliminate Carla, i think we should eliminate carla
" I think we should hold off on Chris, and take someone else out"," i think we should hold off on chris, and take someone else out"
 I think you all should worry about Ashley. Why would she single me out?, i think you all should worry about ashley. why would she single me out?
 I thought Mafia had to outnumber bystanders to win, i thought mafia had to outnumber bystanders to win
 i vote aaron, i vote aaron
 I vote Erin C. since she voted off Cristian first, i vote erin c. since she voted off cristian first
 I vote for Benjamin this time, i vote for benjamin this time
 I vote for JOhn, i vote for john
 I vote for John Luna to be eliminated, i vote for john luna to be eliminated
 I vote Jason, i vote jason
 I vote to evict the annoying, i vote to evict the annoying
 I voted Sandra out, i voted sandra out
 i voted shane, i voted shane
 I wanna trade, i wanna trade
 I want to die, i want to die
 I want to take a selfie with the mafiosa, i want to take a selfie with the mafiosa
 I was the first one to vote on day 1 and got the right guy lol, i was the first one to vote on day 1 and got the right guy lol
 I was thinking 2nd. , i was thinking 2nd. 
 I will eliminate whoever Natasha chooses., i will eliminate whoever natasha chooses.
 I will haunt you, i will haunt you
 I wish there was more back story lol, i wish there was more back story lol
 I wonder how many of the voters for Joshua knew he was a bystander, i wonder how many of the voters for joshua knew he was a bystander
 I wonder if scott glenn is related to john glenn the astronaut? , i wonder if scott glenn is related to john glenn the astronaut? 
 I wonder if the mob is purposefully not getting rid of people at night and instead trying to do it during the day? How many can be in the mafia? , i wonder if the mob is purposefully not getting rid of people at night and instead trying to do it during the day? how many can be in the mafia? 
 I wonder if there is a trick to this.  Like if the names mean anything, i wonder if there is a trick to this.  like if the names mean anything
 I would assume., i would assume.
" I would defo be the least competent mafia person ever.  I'm with you, Stacy."," i would defo be the least competent mafia person ever.  i'm with you, stacy."
 I'd almost say vote me out so I can complete this HIT faster lol, i'd almost say vote me out so i can complete this hit faster lol
" i'd go with Michael Nelson, he has too many names."," i'd go with michael nelson, he has too many names."
 I'd say that too., i'd say that too.
 idiots, idiots
 IDK, idk
 idk , idk 
 idk john voted for cynthia that's the only lead, idk john voted for cynthia that's the only lead
 idk though, idk though
" If I was mafia, I'd want Jake Pierce to be my name. Very suave."," if i was mafia, i'd want jake pierce to be my name. very suave."
" If I were a member of the Mafia, why would I vote to have a fellow Mafioso eliminated? Clearly I'm a bystander. "," if i were a member of the mafia, why would i vote to have a fellow mafioso eliminated? clearly i'm a bystander. "
" If I were you, I'd vote for me. That's all I'm saying."," if i were you, i'd vote for me. that's all i'm saying."
 if nothing else it's amusing, if nothing else it's amusing
 If only we had a secret language, if only we had a secret language
 if shes the other maf, if shes the other maf
 if you are in the mafia please say so, if you are in the mafia please say so
 if you are mafia just respond to this , if you are mafia just respond to this 
" If you ask me, that means Kevin Morales might well be a mafia. "," if you ask me, that means kevin morales might well be a mafia. "
 If you can vote that means you must be in the mafia., if you can vote that means you must be in the mafia.
 if you kill me, if you kill me
 If you look up I never voted for Patrick., if you look up i never voted for patrick.
 I'll go with Sara Marshall, i'll go with sara marshall
 I'll go with the group, i'll go with the group
 i'll make my own mob out of these bystanders, i'll make my own mob out of these bystanders
" I'll say Michael Nelson Jr., or me."," i'll say michael nelson jr., or me."
 I'll vote Angela., i'll vote angela.
 I'll vote Christina too I guess!, i'll vote christina too i guess!
 I'll vote for you, i'll vote for you
" I'll vote for you, because you're sinister enough. You're a money hungry, hoarse horse."," i'll vote for you, because you're sinister enough. you're a money hungry, hoarse horse."
 I'll vote Matthew, i'll vote matthew
 im a bounty hunter/ raptor trainer by day, im a bounty hunter/ raptor trainer by day
 im a bystander, im a bystander
 I'm a bystander, i'm a bystander
 im a bystander but i gotcha, im a bystander but i gotcha
 I'm a bystander too.  Girl named Rodney  lol, i'm a bystander too.  girl named rodney  lol
 I'm a bystander too... NOT MAFIA.. not a bot., i'm a bystander too... not mafia.. not a bot.
" I'm a bystander, duh "," i'm a bystander, duh "
" I'm a bystander...and a girl, I guess."," i'm a bystander...and a girl, i guess."
" I'm a doctor, you're not looking good regardless"," i'm a doctor, you're not looking good regardless"
 Im a hoarse, im a hoarse
 I'm a simple woman and would never harm anyone, i'm a simple woman and would never harm anyone
 I'm an upstandin' citzen!, i'm an upstandin' citzen!
 Im both, im both
 I'm down with that., i'm down with that.
 im first to talk to a second day, im first to talk to a second day
 im going brittany, im going brittany
 im going to tell the daytime people the first person on my list, im going to tell the daytime people the first person on my list
 I'm going to vote bianca. she's so casual with life and death, i'm going to vote bianca. she's so casual with life and death
" I'm going to vote for Jeffrey Miles, because he seems to like kicking people out."," i'm going to vote for jeffrey miles, because he seems to like kicking people out."
 I'm going to vote for Sarah, i'm going to vote for sarah
 I'm going to vote we eliminate Henry Bowers, i'm going to vote we eliminate henry bowers
 I'm going with brent sorry :-[, i'm going with brent sorry :-[
 I'm going with Diana on this one, i'm going with diana on this one
 I'm going with the one that voted for me, i'm going with the one that voted for me
 im gonna make you an offer you cant refuse, im gonna make you an offer you cant refuse
 i'm here, i'm here
 I'm here, i'm here
 I'm here, i'm here
 I'm here.  I just hate to pick someone to get rid of., i'm here.  i just hate to pick someone to get rid of.
 I'm hit!, i'm hit!
 im hungry vote me off, im hungry vote me off
 I'm Jordan effing Rojas., i'm jordan effing rojas.
 Im just talkative LOL, im just talkative lol
 i'm just trying to think strategically. they seemed like they agreed on things, i'm just trying to think strategically. they seemed like they agreed on things
 I'm leaning toward Ruben as well, i'm leaning toward ruben as well
 I'm legitimately ignorant but ok, i'm legitimately ignorant but ok
 Im mafia, im mafia
 I'm mafia, i'm mafia
 Im not, im not
 I'm not, i'm not
 I'm not mafia guys :(, i'm not mafia guys :(
 I'm not smart enough to be mafia., i'm not smart enough to be mafia.
 I'm not sure how to guess, i'm not sure how to guess
 I'm not sure I'm a bystander named Carolyn Santana, i'm not sure i'm a bystander named carolyn santana
 I'm not sure what to do now I have no idea who is left in the mob and I don't want to eliminate a bystander by mistake lol, i'm not sure what to do now i have no idea who is left in the mob and i don't want to eliminate a bystander by mistake lol
 I'm not sure who else may be involved since nothing happened at night, i'm not sure who else may be involved since nothing happened at night
 i'm not sure. i think carla is a bystander, i'm not sure. i think carla is a bystander
" I'm not, but I certainly can see how it would be suspicious. At this point, I don't know what's going on"," i'm not, but i certainly can see how it would be suspicious. at this point, i don't know what's going on"
 I'm real, i'm real
 I'm scared., i'm scared.
 I'm slow, i'm slow
 I'm sorry if I'm wrong Bryan..., i'm sorry if i'm wrong bryan...
 I'm thinking Carolyn is and is just trying to get me out to save themselves, i'm thinking carolyn is and is just trying to get me out to save themselves
 I'm thinking Kelly, i'm thinking kelly
 Im too nice to be mafia, im too nice to be mafia
" I'm totally not mafioso! lol. but it's cool, gotta make dinner anyway! "," i'm totally not mafioso! lol. but it's cool, gotta make dinner anyway! "
 I'm trying to help, i'm trying to help
 i'm voitng julian bc idk what to do, i'm voitng julian bc idk what to do
 im voting david, im voting david
 I'm voting for Cathy , i'm voting for cathy 
 I'm voting for sam, i'm voting for sam
 I'm voting for you then Tanya, i'm voting for you then tanya
 im voting gregory walker, im voting gregory walker
 Im with you Cory is outta there, im with you cory is outta there
" I'm...Melting,.,"," i'm...melting,.,"
 imma psychic, imma psychic
 impossible like this, impossible like this
 intense, intense
 interesting turn of events, interesting turn of events
" Interesting, would make sense Vanessa is mafia. "," interesting, would make sense vanessa is mafia. "
 is deborah next, is deborah next
 is he the mafioso?, is he the mafioso?
 is it stuck?, is it stuck?
" Is it, Elizabeth?"," is it, elizabeth?"
 Is it?, is it?
 is she still here?, is she still here?
 Is that English?, is that english?
 IS THERE A DAKOTA IN THE HOUSE?!, is there a dakota in the house?!
 Is there a point to this?, is there a point to this?
 Is there any way to tell if he was mafia?, is there any way to tell if he was mafia?
 It appears Wendy Leach might be gone, it appears wendy leach might be gone
 It can't be Christian, it can't be christian
 It doesn't make sense to be Cristian., it doesn't make sense to be cristian.
 it might be, it might be
" It might be Jonathan Kim... killing off Erin who accused him ""yesterday"""," it might be jonathan kim... killing off erin who accused him ""yesterday"""
 it said at least one I think, it said at least one i think
 it said he was bystander, it said he was bystander
 It seems like Robin Rodriguez is trying to intimidate us!, it seems like robin rodriguez is trying to intimidate us!
 It seems like the current consensus. , it seems like the current consensus. 
 It seems really weird that they'd eliminate the only other person with accusations, it seems really weird that they'd eliminate the only other person with accusations
 It shows what people are voting for., it shows what people are voting for.
 It turns out that Natalie was indeed a member of the mafia., it turns out that natalie was indeed a member of the mafia.
" it was real, it was fun, it was really fun"," it was real, it was fun, it was really fun"
 Italiansayswhat?, italiansayswhat?
 its a hard life being the only man, its a hard life being the only man
 It's a little early to tell., it's a little early to tell.
 It's a shot in the dark., it's a shot in the dark.
 its all part of the game :), its all part of the game :)
 it's been a long Monday here lol, it's been a long monday here lol
 Its been a slow monday, its been a slow monday
 its not me, its not me
 It's ok, it's ok
" its ok, I am kinda over this lol"," its ok, i am kinda over this lol"
" it's okay, you only got them killed"," it's okay, you only got them killed"
 its random if there arent enough votes, its random if there arent enough votes
 it's so random, it's so random
 its the asian one , its the asian one 
" It's the first turn, anyone have any ideas?"," it's the first turn, anyone have any ideas?"
 It's too dark to see the screen, it's too dark to see the screen
 its up to you guys I guess haha, its up to you guys i guess haha
 It's you probably, it's you probably
 I've been playing it my whole life.  , i've been playing it my whole life.  
 I've loved Shane since highschool., i've loved shane since highschool.
 I've never heard of a mafiosa named Danielle, i've never heard of a mafiosa named danielle
 jacob hasn't really said anything until now which is suspicious, jacob hasn't really said anything until now which is suspicious
 Jake Pierce sounds like a hard core name., jake pierce sounds like a hard core name.
 james, james
 james chose matthew first so has to be Matt, james chose matthew first so has to be matt
 james perez, james perez
 james smith, james smith
 Jamie are you sure about Amy or Riley?, jamie are you sure about amy or riley?
 Jason, jason
 jason smith mafia confirmed, jason smith mafia confirmed
 jason was quick to vote, jason was quick to vote
 Jeffery, jeffery
 Jeffrey Miles, jeffrey miles
 Jeremy was the deciding vote last day.  Could he be mafia?, jeremy was the deciding vote last day.  could he be mafia?
 Jessica, jessica
 Jessica?, jessica?
" Jesus Michelle, what is wrong with you. Did they not pay you enough?"," jesus michelle, what is wrong with you. did they not pay you enough?"
 JIll, jill
 Jill disappeared Danielle wanted Jill gone, jill disappeared danielle wanted jill gone
 Jill has bad attitude, jill has bad attitude
 Jill has bad attitude , jill has bad attitude 
 Jill Mcdonald AFTER CORY, jill mcdonald after cory
 jk there she is, jk there she is
 Jodi - did you not vote last round? Any suspicions?, jodi - did you not vote last round? any suspicions?
 Johhny boy did it with a ax , johhny boy did it with a ax 
 JOHN LUNA, john luna
 John Luna appeared after the night, john luna appeared after the night
 John was trying to talk at night so he is mafia, john was trying to talk at night so he is mafia
 johnson led the mob against sullivan and he was wrong suspecious?, johnson led the mob against sullivan and he was wrong suspecious?
 johnson was too willing to go after sullivan, johnson was too willing to go after sullivan
 Joke is on you mafia!, joke is on you mafia!
 Jordan is mobster, jordan is mobster
 Jordan may was the first to accuse me. they are mafia, jordan may was the first to accuse me. they are mafia
 Jordan Rojas, jordan rojas
 Jordan?, jordan?
 jose vote jose, jose vote jose
 Joseph was trying to vote you out anthony, joseph was trying to vote you out anthony
 'Jr.', 'jr.'
 Julian, julian
 Julian will whack us., julian will whack us.
 julian works for me, julian works for me
 Just 2 I think, just 2 i think
 Just a game peeps, just a game peeps
 just a guess, just a guess
 just chat, just chat
 Just don't captcha me dude., just don't captcha me dude.
 Just don't hold anything against me if I voted for you and you survive!, just don't hold anything against me if i voted for you and you survive!
" Just look at the denial from Michelle. I'm telling you, prime suspect, just saying."," just look at the denial from michelle. i'm telling you, prime suspect, just saying."
" Just so you know, I am a bystander."," just so you know, i am a bystander."
 just trust, just trust
 justin aint talking, justin aint talking
 justin doesn't sound mafia. but it could be a trap., justin doesn't sound mafia. but it could be a trap.
 Justin is a nice name!, justin is a nice name!
 justin rivas jr?, justin rivas jr?
 karen smith?, karen smith?
" Kayla hasnt replied in awhile, bye!"," kayla hasnt replied in awhile, bye!"
 Keep scrolling ;], keep scrolling ;]
 Kelly Lopez has to go, kelly lopez has to go
" Kelly said to kill Austin last round, haha"," kelly said to kill austin last round, haha"
 kelly?, kelly?
 kendra then, kendra then
 kevin, kevin
 Kevin Pearson, kevin pearson
 kick me out for that moneyy, kick me out for that moneyy
 kick Michael Lucero out, kick michael lucero out
 Kill Christopher Diaz b/c I gtg, kill christopher diaz b/c i gtg
 Kill me cause i'm sick of this stupid game, kill me cause i'm sick of this stupid game
 kill me first..hahahah, kill me first..hahahah
 Kill me lol, kill me lol
 killing sara marshall lol, killing sara marshall lol
 Kimberly Harris, kimberly harris
 kimberly ibarra, kimberly ibarra
 kimberly this time?, kimberly this time?
 Kim's acting suspicious, kim's acting suspicious
 Kind of a fun game haha, kind of a fun game haha
 Kind of natural at this point, kind of natural at this point
 kind of suspicious to just vote for a random guy first before discussion., kind of suspicious to just vote for a random guy first before discussion.
 knows too much!, knows too much!
 Kyle man, kyle man
 Kyle seems to know who is who, kyle seems to know who is who
 Later William!, later william!
 Laura, laura
 laura, laura
 Laura for certain, laura for certain
 Laura then DONNA, laura then donna
 left, left
 let's do brittany or roy , let's do brittany or roy 
 lets eliminate Erin , lets eliminate erin 
 Lets eliminate Ryan, lets eliminate ryan
 lets eliminate the first name, lets eliminate the first name
 Let's get brandy , let's get brandy 
 lets get Heather!, lets get heather!
 lets get her outttta here!!!!!!!!!!!!!!!!!!!, lets get her outttta here!!!!!!!!!!!!!!!!!!!
 Let's get lisa, let's get lisa
 lets get rid of Cody, lets get rid of cody
 let's get rid of jose, let's get rid of jose
 lets get rid of justin lee, lets get rid of justin lee
 Lets go Mafia!, lets go mafia!
" Let's go with Judith, then during the day let's go with Rodney"," let's go with judith, then during the day let's go with rodney"
 Let's hope that he is a mafioso, let's hope that he is a mafioso
 Lets just take it from the top, lets just take it from the top
 lets kill him, lets kill him
 Let's knock one out, let's knock one out
 Let's let Christopher go home, let's let christopher go home
 Let's Lynch Nathan , let's lynch nathan 
 let's not vote for them, let's not vote for them
 Lets off William!, lets off william!
 Let's pick John Davis, let's pick john davis
 lets pick patrick ellis, lets pick patrick ellis
 Let's see who speaks up., let's see who speaks up.
 let's take austin williams out of the game., let's take austin williams out of the game.
 lets take out benjamin writght, lets take out benjamin writght
 Let's take out Raymond., let's take out raymond.
 lets take out stacy, lets take out stacy
 Let's vote for Suzanne, let's vote for suzanne
 Like a fart?, like a fart?
 Like death, like death
 like the movie get it?, like the movie get it?
 live to fight another day, live to fight another day
 lmao, lmao
 lmao it's good, lmao it's good
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 LOL, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol, lol
 Lol, lol
 lol, lol
 lol, lol
 lol, lol
 lol , lol 
 lol , lol 
 lol - nobody wants to talk, lol - nobody wants to talk
 LOL :(, lol :(
 Lol are we all bystanders?, lol are we all bystanders?
 Lol Bianca, lol bianca
 lol everyone had the same idea , lol everyone had the same idea 
 lol exactly!, lol exactly!
 lol guess they're not that smart., lol guess they're not that smart.
 LOL I hope your doctor doesn't do the same, lol i hope your doctor doesn't do the same
 lol idc, lol idc
 Lol Michelle. , lol michelle. 
 lol nice, lol nice
 lol or im a bystander with a gun, lol or im a bystander with a gun
 lol there he is, lol there he is
 LOL touche, lol touche
 Lol we'll get you next, lol we'll get you next
 lol you voted against me before ;], lol you voted against me before ;]
 lol!, lol!
" LOL! Awe, Ricky"," lol! awe, ricky"
" LOL, the pressure!"," lol, the pressure!"
 lol. you'll see if I get iliminated that I was a bystanfer, lol. you'll see if i get iliminated that i was a bystanfer
 lolol i know...I think Dr. Amy should be next to go, lolol i know...i think dr. amy should be next to go
 lolz, lolz
 lonely time, lonely time
 long day, long day
 look for the long coat, look for the long coat
 looks like Kendra is it then, looks like kendra is it then
 Looks like the problem is solved!, looks like the problem is solved!
 Looks like this should be a win for the mafia if I'm eliminated, looks like this should be a win for the mafia if i'm eliminated
 Looks like we're down to 3?, looks like we're down to 3?
 Looks like William isn't doing so hot, looks like william isn't doing so hot
 louis are you a bystander?, louis are you a bystander?
 love this, love this
 m just trying to get this party started, m just trying to get this party started
 maf majority, maf majority
 Mafia can't send messages at night., mafia can't send messages at night.
 Mafia is gonna win cause you are idiots., mafia is gonna win cause you are idiots.
 Mafioso!, mafioso!
 majority, majority
 makes you think, makes you think
 mariah huh, mariah huh
 Mary, mary
 Mary Mata, mary mata
 Mary Mata, mary mata
 Mary., mary.
 Matt has a lot to say..., matt has a lot to say...
 Matthew Franco?, matthew franco?
 matthew is mafia, matthew is mafia
 Matthew was a bystander, matthew was a bystander
 maybe, maybe
" Maybe ""Don't Stop Believin'"" will just kick in as you leave."," maybe ""don't stop believin'"" will just kick in as you leave."
 maybe brittany bc she didn't vote for michael?, maybe brittany bc she didn't vote for michael?
 Maybe it was a heart attack :P, maybe it was a heart attack :p
 Maybe it will be an open-ending like the Sopranos?, maybe it will be an open-ending like the sopranos?
 maybe its you Harold, maybe its you harold
 maybe james lamb but he changed choices this time maybe to throw off, maybe james lamb but he changed choices this time maybe to throw off
 Maybe quiet is a bystander trying to stay away from the Mafia, maybe quiet is a bystander trying to stay away from the mafia
" Maybe Ruben then, Idk"," maybe ruben then, idk"
 Maybe the people who are all voting the same the first day are mafia?, maybe the people who are all voting the same the first day are mafia?
 me, me
 me and mariah , me and mariah 
 me either, me either
 Me too, me too
 me too, me too
 Me too!, me too!
 me too!, me too!
 meanie, meanie
 Meant to click Vanessa and can't change it, meant to click vanessa and can't change it
 Michael get mary arnold, michael get mary arnold
 Michael let get rid of  Aaron, michael let get rid of  aaron
 Michael Petersen is a problem., michael petersen is a problem.
 Michael sounds suspicious, michael sounds suspicious
 Michael Williams don't sound like a cool cat..., michael williams don't sound like a cool cat...
" Michelle Graham, are you the mafia lady?"," michelle graham, are you the mafia lady?"
 Michelle hasn't spoken and she hasn't been voting in the most recent rounds, michelle hasn't spoken and she hasn't been voting in the most recent rounds
" Michelle is really quiet, whats up with that? You think the killer is gonna talk? No way, they are gonna be silent and invisible."," michelle is really quiet, whats up with that? you think the killer is gonna talk? no way, they are gonna be silent and invisible."
 Michelle?, michelle?
 Mind gamessss, mind gamessss
 Mobster for sure, mobster for sure
 mornin folks!, mornin folks!
 morning, morning
 morning, morning
 morning, morning
 Morning at last., morning at last.
" Morning guys, lol"," morning guys, lol"
 Morning!, morning!
 Morning! Who do you think we should eliminate today?, morning! who do you think we should eliminate today?
" Most votes, if tie then its random between the two"," most votes, if tie then its random between the two"
 motive?, motive?
 Mr. Robert, mr. robert
" Mr. Robert Bryant what does it say to the left of ""Your player's name is:""?"," mr. robert bryant what does it say to the left of ""your player's name is:""?"
 Mr. robert is only MR. lol, mr. robert is only mr. lol
 my bad, my bad
" My detractors, however, clearly want me gone for the very reason that I have them pinned!"," my detractors, however, clearly want me gone for the very reason that i have them pinned!"
 My vote didn't go through last time.  , my vote didn't go through last time.  
 Nah it's fine., nah it's fine.
 Nancy is quiet..., nancy is quiet...
 Natalie can't be trusted, natalie can't be trusted
" Natalie was rotten all along. What about you, Nathan? Have you been active at night lately?"," natalie was rotten all along. what about you, nathan? have you been active at night lately?"
 natalie... that sounds like someone in the mafia , natalie... that sounds like someone in the mafia 
 Nathan did want Natalie gone though..., nathan did want natalie gone though...
 Nathan was quick to point his finger at Natalie., nathan was quick to point his finger at natalie.
 Never mess with Michelle on her period., never mess with michelle on her period.
 nevermind, nevermind
 next day, next day
 Next during the day let's pick Sandra, next during the day let's pick sandra
 nice, nice
 Nice being criminals with you., nice being criminals with you.
 nice to meet everyone, nice to meet everyone
 nice to meet you all, nice to meet you all
" nice, the feigning ignorance angle"," nice, the feigning ignorance angle"
" nice, the page gets longer as more people type"," nice, the page gets longer as more people type"
 Nicholas Davis sounds shifty...oh wait., nicholas davis sounds shifty...oh wait.
 Nicholas Ross is my pick this time, nicholas ross is my pick this time
 Nicole is a Russian Spy, nicole is a russian spy
 no, no
 no, no
 no, no
 No, no
 no, no
 NO, no
 No, no
 No because no one said anything., no because no one said anything.
 no but i argued a lot against brittany figured theyd off me in the night tbh, no but i argued a lot against brittany figured theyd off me in the night tbh
 no clue, no clue
 no guys, no guys
 no hard feelings, no hard feelings
 no idea, no idea
 No idea who mafia might be..., no idea who mafia might be...
 No idea who to eliminate., no idea who to eliminate.
 No idea yet., no idea yet.
 No i'm a voter, no i'm a voter
 no I'm here, no i'm here
 no it says not changeable, no it says not changeable
 no joke, no joke
 No one seems to like Julian! lol, no one seems to like julian! lol
 no one wants to talk huh, no one wants to talk huh
 no problem, no problem
 No prop, no prop
" No really, not"," no really, not"
 no response, no response
 no silly you dream of me, no silly you dream of me
 No sweat ;), no sweat ;)
 no way to tell, no way to tell
" No, I'm a good guy."," no, i'm a good guy."
 nobody is going to questoin the people that quick to the draw?, nobody is going to questoin the people that quick to the draw?
 nobody thinks im mafia..., nobody thinks im mafia...
 Noooooo, noooooo
 Noooooooo!, noooooooo!
 Nope ;), nope ;)
 nope nope nope..it isn't me.. I promise., nope nope nope..it isn't me.. i promise.
 Nope not me, nope not me
 nope only the mafia, nope only the mafia
 not a clue, not a clue
 Not close enough to know he wasn't mafia., not close enough to know he wasn't mafia.
 not different at all by the looks of things, not different at all by the looks of things
 not James Smith, not james smith
 not majority, not majority
 not me!!, not me!!
" Not me, How about Rebecca"," not me, how about rebecca"
" not me, how about sullivan"," not me, how about sullivan"
 not much to go off of unless you're mafia tbh, not much to go off of unless you're mafia tbh
" not pc, sorry"," not pc, sorry"
 Not sure, not sure
 Not sure how to tell, not sure how to tell
 Not sure I'm even playihg with real people???, not sure i'm even playihg with real people???
 not sure tbh, not sure tbh
 Not sure what Shane did, not sure what shane did
 Not sure who to choose, not sure who to choose
 Not this time lol, not this time lol
 Not yet., not yet.
 Nothing much here.. got a good nights rest, nothing much here.. got a good nights rest
 Notice that Aaron was eliminated last night?, notice that aaron was eliminated last night?
 now ;), now ;)
 o no dr, o no dr
 O well...eliminate me lol, o well...eliminate me lol
 Obviously, obviously
 odd, odd
" Of course I'm right,."," of course i'm right,."
 of course you do julian hahah, of course you do julian hahah
 oh, oh
 oh boy, oh boy
 Oh boy, oh boy
 oh crap, oh crap
 oh it started , oh it started 
 oh it's just me now, oh it's just me now
 oh my , oh my 
 Oh my God I'm alive., oh my god i'm alive.
 Oh no ricky lol, oh no ricky lol
 oh no!, oh no!
" Oh no, I guess my time has come!"," oh no, i guess my time has come!"
 Oh nooooo, oh nooooo
 oh really, oh really
 OH yeah, oh yeah
" Oh, shoot.  I can't change my vote.  :("," oh, shoot.  i can't change my vote.  :("
" Oh, that's true"," oh, that's true"
 oh-ok - I can go James, oh-ok - i can go james
 Oi! , oi! 
 Ok, ok
 ok, ok
 ok, ok
 ok, ok
 ok, ok
 ok, ok
 ok, ok
 ok, ok
 Ok, ok
 ok, ok
 ok, ok
 ok, ok
 Ok, ok
 ok, ok
 ok, ok
 ok, ok
 ok, ok
 ok adam it is, ok adam it is
 ok bye, ok bye
 Ok Greg you;'re dead to me, ok greg you;'re dead to me
 ok how about lucas , ok how about lucas 
 Ok i have benjamin miller first on my list, ok i have benjamin miller first on my list
 ok i think mary mata, ok i think mary mata
 Ok I too will vote that, ok i too will vote that
 Ok I will be more explicit , ok i will be more explicit 
